행정구역명,학원-교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,개설일자,적재일시
동작구,교습소,3000013726,숭실이해법수학교습소,서울특별시 동작구 상도로37길 62,/ 필로스프라자 5층 (상도동),입시.검정 및 보습,보통교과,초등수학,보습,32,9,초등수학:180000/ 중등수학:220000/ 고등수학:370000/ 초등저학년수학:165000,,N,156880,개원,2012-03-22,2012-03-22,2021-10-17
동작구,학원,3000013742,노량진필독서실,서울특별시 동작구 장승배기로28길 19,/ 1/2/3층 (노량진동/가동),독서실,독서실(중),독서실(일반인)/,독서실(일반인),1284,214,,Y,N,156800,개원,2012-03-26,2012-03-26,2021-10-17
동작구,학원,3000014193,에비뉴학원,서울특별시 동작구 강남초등길 24,/ 4층 (상도1동),입시.검정 및 보습,보통교과,보습/,보습,15,70,,,N,156830,개원,2012-05-22,2012-05-22,2021-10-17
동작구,교습소,3000014427,해법중국어교습소,서울특별시 동작구 상도로30길 40,/ 206호 (상도동/ 상도2차 두산위브트레지움 아파트),입시.검정 및 보습,보통교과,초등A,보습,54,8,초등A:130000/ 초등B:150000/ 초등C:200000/ 중등A:150000/ 중등B:180000/ 중등C:250000/ 고등A:150000/ 고등B:200000/ 고등C:300000,Y,N,6964,개원,2012-05-31,2012-05-31,2021-10-17
동작구,학원,3000014577,미소독서실,서울특별시 동작구 만양로14가길 17,/  4층 (노량진동/신광대중목욕탕),독서실,독서실(중),독서실(일반인)/,독서실(일반인),231,77,,Y,N,156801,개원,2012-06-14,2012-06-14,2021-10-17
동작구,학원,3000014656,정쌤수학학원,서울특별시 동작구 상도로55길 1,/ 4층 (상도동/강현빌딩),입시.검정 및 보습,보통교과,보습/,보습,60,74,,Y,N,156881,개원,2012-06-29,2012-06-29,2021-10-17
동작구,학원,3000014660,지안공무원학원,서울특별시 동작구 노량진로 166,/ 2층 일부 (노량진동/제일은행노량진지점),인문사회(대),인문사회(중),성인고시/,성인고시,3136,269,,Y,N,156801,개원,2012-06-25,2012-06-25,2021-10-17
동작구,학원,3000014661,이용구원격학원,서울특별시 동작구 보라매로5가길 16,/ 613-24호 (신대방동/ 보라매아카데미타워),입시.검정 및 보습,보통교과,보습/,보습,68,17,,Y,N,7071,개원,2012-06-05,2012-06-05,2021-10-17
동작구,교습소,3000014681,이제이수학교습소,서울특별시 동작구 동작대로29길 91,/ 사당우성아파트상가 3단지 202호 (사당동/극동 사당우성 신동아 아파트),입시.검정 및 보습,보통교과,초1~초6,보습,30,6,,,N,156772,개원,2012-06-25,2012-06-25,2021-10-17
동작구,교습소,3000014746,아이러브미술교습소,서울특별시 동작구 사당로2가길 102,/ 사당자이아파트 상가 107호 (사당동/사당자이아파트),예능(대),예능(중),유초중미술,미술,24,8,,Y,N,156744,개원,2012-07-12,2012-07-12,2021-10-24
동작구,교습소,3000014791,두드림중국어교습소,서울특별시 동작구 여의대방로 250,/ 대림아파트 상가동 209호 (대방동/대방동 대림아파트 아파트동),국제화,외국어,(회화)초등중국어,실용외국어(유아/초·중·고),66,7,(회화)초등중국어:80000/ (회화)중고등중국어:90000/ (회화)초등중국어:120000/ (회화)중고등중국어:130000/ (회화)초등중국어:150000/ (회화)중고등중국어:160000/ (회화)초등중국어:180000/ (회화)중고등중국어:190000/ 자격증 초급:130000/ 자격증 중급:200000/ 자격증 고급:250000,Y,N,156761,개원,2012-07-17,2012-07-17,2021-10-17
동작구,학원,3000014804,눈높이러닝센터숭실보습학원,서울특별시 동작구 상도로49길 11,/ 3층 (상도동),입시.검정 및 보습,보통교과,보습/,보습,705,76,,Y,N,156880,개원,2012-07-10,2012-07-10,2021-10-17
동작구,학원,3000014848,비비에스독서실,서울특별시 동작구 동작대로29길 77,/ 102호 (사당동),독서실,독서실(중),독서실(일반인)/,독서실(일반인),268,67,,Y,N,156815,개원,2012-07-23,2012-07-23,2021-10-17
동작구,학원,3000014882,공단기본관학원,서울특별시 동작구 노량진로 162,/ 한주빌딩 2층 전체 (노량진동/한주실업),인문사회(대),인문사회(중),성인고시/,성인고시,51900,784,,Y,N,156801,개원,2012-03-08,2012-03-08,2021-10-17
동작구,교습소,3000014895,해성음악교습소,서울특별시 동작구 성대로29길 63,/ 2층 일부 (상도동),예능(대),예능(중),바이엘,음악,16,4,바이엘:110000/ 체르니100:120000/ 체르니30:130000/ 체르니40:140000,,N,156840,개원,2012-07-31,2012-07-31,2021-10-17
동작구,교습소,3000014896,흑석뮤엠영어교습소,서울특별시 동작구 현충로 111,/ 명수대상가 B동 2층 2호,국제화,외국어,영어 W(초등),실용외국어(유아/초·중·고),40,5,영어 W(초등):200000/ 영어 PY(초등):230000/ 영어 GB(초등):240000/ 영어 RB(초등):250000/ 영어 ESSAY(초등):100000/ 영어 IC(초등):160000/ 영어 MSA(중등):280000/ 영어 MSB(중등):300000,Y,N,6904,개원,2012-07-30,2012-07-30,2021-10-17
동작구,교습소,3000014988,업타운잉글리쉬영어교습소,서울특별시 동작구 만양로 19,/ 1층 124/125호 (노량진동/ 신동아리버파크아파트),입시.검정 및 보습,보통교과,초등영어,보습,12,6,,,N,6920,개원,2012-08-03,2012-08-03,2021-10-17
동작구,학원,3000015233,성진비전학원,서울특별시 동작구 동작대로11길 77,/ 성진교회 3층 일부 (사당동),입시.검정 및 보습,보통교과,보습/,보습,10,83,,Y,N,156825,개원,2012-09-07,2012-09-07,2021-10-17
동작구,학원,3000015234,세지말스피치학원,서울특별시 동작구 동작대로 71,/ 5층 일부 (사당동),기예(대),기예(중),화술/,화술,60,48,,Y,N,156824,개원,2012-09-11,2012-09-11,2021-10-17
동작구,교습소,3000015235,뮤직트리음악교습소,서울특별시 동작구 사당로22길 25,/ 1층 일부 (사당동),예능(대),예능(중),피아노1,음악,70,5,,Y,N,156824,개원,2012-09-06,2012-09-06,2021-10-17
동작구,교습소,3000015399,드림하이영어교습소,서울특별시 동작구 장승배기로 16,/ 1층 (상도동),입시.검정 및 보습,보통교과,초등영어초급,보습,25,5,초등영어초급:185000/ 초등영어중고급:200000/ 중등영어:240000/ 고등영어1:290000/ 고등영어2:300000,Y,N,6967,개원,2012-10-09,2012-10-09,2021-10-17
동작구,교습소,3000015400,그로잉트리영어교습소,서울특별시 동작구 만양로 26,/ 건영아파트 상가동 119호 (상도동/건영아파트),국제화,외국어,영어1,실용외국어(유아/초·중·고),14,4,영어1:220000/ 영어2:180000/ 영어3:360000/ 영어4:180000,Y,N,156752,개원,2012-10-09,2012-10-09,2021-10-17
동작구,교습소,3000015469,휘음악교습소,서울특별시 동작구 상도로 346-1,/ 상가3동 202호 (상도동/ 상도엠코타운 센트럴파크),예능(대),예능(중),일반초급,음악,21,7,,Y,N,7039,개원,2012-10-17,2012-10-17,2021-10-17
동작구,학원,3000015503,뮤엠영어대방학원,서울특별시 동작구 대방동27길 111,/ 3층 (대방동/영진빌딩),입시.검정 및 보습,보통교과,보습/,보습,175,71,,Y,N,156811,개원,2012-10-29,2012-10-29,2021-10-17
